Section,Gender,Plans,Season,Rank,Ticket,Texted,Exercise,Ethnicfood,Haircutcost,Topspeed,Height,Weight,Sleep,Jobhours,GPA,Heartrate
"C (Talsma, 10:30 AM)",Male,Educ,Summer,Middle,No,Yes,Yes,American,20,140,76,210,7,15,2.8,18
"C (Talsma, 10:30 AM)",Male,Job,Fall,Oldest,NA,No,No,Asian,30,85,72,205,7,17,2.7,16
"C (Talsma, 10:30 AM)",Male,Educ,Winter,Oldest,Yes,Yes,Yes,Asian,15,99,74,245,8,10,2.5,24
"C (Talsma, 10:30 AM)",Female,Job,Fall,Oldest,No,Yes,Yes,Italian,30,90,69,135,9,0,3.2,19
"C (Talsma, 10:30 AM)",Male,Job,Summer,Youngest,Yes,Yes,Yes,American,15,110,74,190,8,12,3,21
"C (Talsma, 10:30 AM)",Male,Job,Fall,Oldest,No,Yes,No,American,12,150,73,155,7,10,3,25
"C (Talsma, 10:30 AM)",Male,Job,Winter,Youngest,Yes,Yes,Yes,Italian,14,90,75,320,5,24,4,24
"D (DeRuiter, 11:30 AM)",Female,Job,Summer,Youngest,No,Yes,Yes,Italian,12,85,67,148,8,0,3.7,16
"D (DeRuiter, 11:30 AM)",Male,Educ,Fall,Oldest,Yes,Yes,No,Mexican,16,100,75,165,8,3,3,15
"D (DeRuiter, 11:30 AM)",Female,Educ,Fall,Middle,No,Yes,Yes,Italian,35,120,68,170,8,10,3.5,12
"D (DeRuiter, 11:30 AM)",Female,Job,Spring,Oldest,No,Yes,No,Mexican,45,80,70,150,6,12,4,22
"D (DeRuiter, 11:30 AM)",Male,Educ,NA,Oldest,No,Yes,Yes,Asian,0,120,75,197,6.5,0,3.92,18
"D (DeRuiter, 11:30 AM)",Female,Educ,Fall,Youngest,No,Yes,Yes,Italian,110,80,64,163,8,10,3.789,21
"D (DeRuiter, 11:30 AM)",Female,NA,Summer,Middle,No,Yes,Yes,NA,26,95,64,126,7,2,3.4,18
"D (DeRuiter, 11:30 AM)",Female,Job,Winter,Oldest,No,Yes,No,Asian,23,90,62,150,8,7,3.08,21
"D (DeRuiter, 11:30 AM)",Female,Job,Summer,Youngest,No,Yes,No,Mexican,30,87,67,150,6.5,5,3.731,16
"D (DeRuiter, 11:30 AM)",Female,Educ,Winter,Oldest,No,No,No,Italian,36,85,66,150,6,5,4,17
"D (DeRuiter, 11:30 AM)",Female,Job,Fall,Oldest,No,Yes,Yes,Mexican,0,80,63,125,8,10,3.4,17
"D (DeRuiter, 11:30 AM)",Female,Educ,Fall,Youngest,No,Yes,Yes,Asian,0,90,65,160,7,5,3.85,14
"D (DeRuiter, 11:30 AM)",Male,Job,Fall,Youngest,No,Yes,No,Italian,15,125,73,145,7,10,3.8,25
"D (DeRuiter, 11:30 AM)",Female,Job,Summer,Youngest,Yes,Yes,Yes,Italian,6,100,65,140,7,20,3.6,15
"D (DeRuiter, 11:30 AM)",Female,Job,NA,Oldest,No,Yes,No,Asian,18,85,65,152,7,16,3.873,18
"D (DeRuiter, 11:30 AM)",Male,Educ,Fall,Middle,No,Yes,Yes,Mexican,14,90,71,166,8,10,3.7,24
"D (DeRuiter, 11:30 AM)",Female,Job,Fall,Middle,Yes,Yes,Yes,American,14,90,67,145,7,0,3.6,13
"D (DeRuiter, 11:30 AM)",Female,Educ,Spring,Oldest,No,Yes,No,Italian,10,85,65.5,120,6.5,10,4,24
"D (DeRuiter, 11:30 AM)",Female,Job,Fall,Youngest,Yes,Yes,Yes,Italian,40,95,69,162,6,9,3.1,16
"D (DeRuiter, 11:30 AM)",Female,Educ,Summer,Oldest,Yes,Yes,Yes,Asian,54,95,67,140,7,20,3.4,18
"E (Adams, 1:30 PM)",Female,Job,Summer,Oldest,No,Yes,Yes,Asian,20,90,63,130,7,10,3.4,14
"E (Adams, 1:30 PM)",Male,Job,Winter,Middle,No,Yes,No,American,0,100,75,155,7.5,0,3.2,13
"E (Adams, 1:30 PM)",Female,Educ,Fall,Youngest,No,Yes,Yes,American,35,95,62,175,4,0,2.8,18
"E (Adams, 1:30 PM)",Female,Job,Summer,Middle,No,Yes,No,American,50,92,70,125,9,12,3.8,20
"E (Adams, 1:30 PM)",Male,Educ,Fall,Oldest,No,No,Yes,Italian,16,90,74,155,9,8,3.5,18
"E (Adams, 1:30 PM)",Female,NA,Fall,Oldest,Yes,Yes,No,Asian,50,85,64,130,7.5,0,3.1,22
"E (Adams, 1:30 PM)",Female,Job,Summer,Oldest,No,Yes,No,NA,30,95,65,170,8,7,2.6,18
"E (Adams, 1:30 PM)",Female,Job,Fall,Middle,No,Yes,NA,Mexican,40,95,66,128,8,20,3,16
"E (Adams, 1:30 PM)",Female,Educ,NA,Middle,No,Yes,Yes,Asian,25,90,69,140,7,0,4,16
"E (Adams, 1:30 PM)",Male,Job,Summer,Middle,No,Yes,Yes,American,15,90,72,130,7,6,3,12
"E (Adams, 1:30 PM)",Female,Job,Fall,Youngest,No,Yes,No,Mexican,30,90,71,185,9,7,3.625,16
"E (Adams, 1:30 PM)",Male,Job,Fall,Oldest,No,Yes,Yes,Italian,0,122,72,178,8,6,3.2,22
"E (Adams, 1:30 PM)",Female,Job,Spring,Oldest,No,No,Yes,NA,50,72,68,140,7,8,3.8,16
"E (Adams, 1:30 PM)",Female,Job,Summer,Middle,No,Yes,No,Mexican,0,87,67,140,7.5,16,3.715,17
"E (Adams, 1:30 PM)",Female,Job,Summer,Middle,No,Yes,Yes,Italian,50,90,67,140,7,5,3.5,16
"E (Adams, 1:30 PM)",Male,Job,Fall,Oldest,No,Yes,Yes,Asian,20,90,72,187,6.5,23,3.72,16
"E (Adams, 1:30 PM)",Female,Job,Fall,Middle,No,Yes,Yes,Asian,20,75,67,165,8,15,3.78,20
"E (Adams, 1:30 PM)",Female,Job,Spring,Middle,No,No,Yes,Asian,7,95,67,138,7,5,3.9,23
"E (Adams, 1:30 PM)",Female,Job,Fall,Oldest,Yes,No,No,American,10,85,65,130,7.5,24,3.9,16
"E (Adams, 1:30 PM)",Female,Job,Fall,Oldest,No,Yes,No,Mexican,80,110,59,110,6,15,2,16
"E (Adams, 1:30 PM)",Female,Job,Fall,Middle,No,Yes,Yes,Italian,19,100,66,165,9,12,3,19
"E (Adams, 1:30 PM)",Male,Job,Winter,Youngest,No,Yes,Yes,Italian,13,85,70,130,7,0,3,17
"E (Adams, 1:30 PM)",Male,Job,Winter,Youngest,No,Yes,No,American,0,87,73.5,195,7,7,3.11,21
"E (Adams, 1:30 PM)",Female,Job,Spring,Middle,Yes,Yes,No,Italian,16,80,67,190,7,15,3.54,19
"E (Adams, 1:30 PM)",Male,Job,Fall,Middle,Yes,Yes,Yes,American,16,95,69,135,5,25,2.9,18
"E (Adams, 1:30 PM)",Female,Job,Fall,Oldest,Yes,Yes,No,Asian,10,104,67,125,6,15,3,22
"F (Adams, 2:30 PM)",Male,Job,Winter,Youngest,Yes,No,Yes,Asian,20,87,70,150,9,10,3,9
"F (Adams, 2:30 PM)",Male,Job,Fall,Youngest,No,No,No,Mexican,0,100,71,140,7.5,10,1.5,23
"F (Adams, 2:30 PM)",Female,Job,Fall,Middle,No,Yes,No,Mexican,40,85,66,160,8,9,4,26
"F (Adams, 2:30 PM)",Female,Job,Winter,Middle,No,No,No,American,14,80,70,165,7,0,3.5,19
"F (Adams, 2:30 PM)",Male,Job,Winter,Oldest,Yes,Yes,Yes,American,13,120,74,205,8,10,4,19
"F (Adams, 2:30 PM)",Male,Job,Fall,Middle,No,Yes,Yes,Mexican,10,85,73,175,8,10,3,20
"F (Adams, 2:30 PM)",Female,Job,Fall,Oldest,No,Yes,Yes,Mexican,25,90,62,130,7,3,3.6,23
"F (Adams, 2:30 PM)",Female,Job,Summer,Middle,No,Yes,Yes,Italian,10,90,67,125,8.5,10,3.4,19
"F (Adams, 2:30 PM)",Male,Educ,Fall,Oldest,No,Yes,Yes,Asian,0,130,73,165,4,14,3.5,18
